Bill Title,Year,"Word Count",Page Length,,
National Aeronautics and Space Administration Authorization Act of 2022*,2022,10298,27,,
National Aeronautics and Space Administration Transition Authorization Act of 2017,2017,21690,54,,
National Aeronautics and Space Administration Authorization Act of 2010,2010,16069,39,,
National Aeronautics and Space Administration Authorization Act of 2008,2008,15353,36,,
National Aeronautics and Space Administration Authorization Act of 2005,2005,20528,48,,
National Aeronautics and Space Administration Authorization Act of 2000,2000,9872,25,,
"National Aeronautics and Space Administration Authorization Act, Fiscal Year 1993",1992,10694,26,,
"National Aeronautics and Space Administration Authorization Act, Fiscal Year 1992",1991,6398,15,,
"National Aeronautics and Space Administration Authorization Act, Fiscal Year 1991",1990,8657,21,,
"National Aeronautics and Space Administration Authorization Act, Fiscal Year 1989",1988,8908,21,,
"National Aeronautics and Space Administration Authorization Act, 1988",1987,8317,18,,
National Aeronautics and Space Administration Authorization Act of 1986,1985,3058,7,,
"National Aeronautics and Space Administration Authorization Act, 1985",1984,3758,9,,
"National Aeronautics and Space Administration Authorization Act, 1984",1983,2326,6,,
"National Aeronautics and Space Administration Authorization Act, 1983",1982,2344,6,,
"National Aeronautics and Space Administration Authorization Act, 1982",1981,1945,5,,
"National Aeronautics and Space Administration Authorization Act, 1981",1980,1655,4,,
"National Aeronautics and Space Administration Authorization Act, 1980",1979,2326,6,,
"National Aeronautics and Space Administration Authorization Act, 1979",1978,1779,4,,
"National Aeronautics and Space Administration Authorization Act, 1978",1977,2028,5,,
"National Aeronautics and Space Administration Authorization Act, 1977",1976,1952,5,,
"National Aeronautics and Space Administration Authorization Act, 1976",1975,2470,6,,
"National Aeronautics and Space Administration Authorization Act, 1975",1974,2030,4,,
"National Aeronautics and Space Administration Authorization Act, 1974",1973,2470,5,,
"National Aeronautics and Space Administration Authorization Act, 1973",1972,2208,5,,
"National Aeronautics and Space Administration Authorization Act, 1972",1971,2083,4,,
"National Aeronautics and Space Administration Authorization Act, 1971",1970,3462,7,,12434.90909
"National Aeronautics and Space Administration Authorization Act, 1970",1969,3568,,,
"National Aeronautics and Space Administration Authorization Act, 1969",1968,1554,,,
"National Aeronautics and Space Administration Authorization Act, 1968",1967,1623,,,
"National Aeronautics and Space Administration Authorization Act, 1967",1966,1721,,,
"National Aeronautics and Space Administration Authorization Act, 1966",1965,1358,,,
"National Aeronautics and Space Administration Authorization Act, 1965",1964,1400,,,
"National Aeronautics and Space Administration Authorization Act, 1964",1963,1774,,,
"National Aeronautics and Space Administration Authorization Act, 1963",1962,1845,,,
"National Aeronautics and Space Administration Authorization Act, 1962",1961,1031,,,
"National Aeronautics and Space Administration Authorization Act, 1961",1960,1030,,,
"National Aeronautics and Space Administration Authorization Act, 1960",1959,742,,,
"National Aeronautics and Space Administration Authorization Act, 1959",1958,181,,,
,,,,,
*included within the Supreme Court Security Funding Act of 2022,,,,,
Word count taken from iOS text-from-photo recognition,,,,,
"Word count taken from Enrolled Bill, not law text",,,,,
,,,,,
,,,,,
,Year,Word Count,Word Count post-1983,2022 Auth,
,2022,,,10298,
,2020,,,,
,2017,,21690,,
,2010,,16069,,
,2008,,15353,,
,2005,,20528,,
,2000,,9872,,
,1992,,10694,,
,1991,,6398,,
,1990,,8657,,
,1988,,8908,,
,1987,,8317,,
,1985,,3058,,
,1984,,3758,,
,1983,2326,,,
,1982,2344,,,
,1981,1945,,,
,1980,1655,,,
,1979,2326,,,
,1978,1779,,,"the 2022 NASA Authorization is derived from the National Aeronautics and Space Administration Authorization Act of 2020, which passed the Senate before dying."
,1977,2028,,,
,1976,1952,,,
,1975,2470,,,
,1974,2030,,,
,1973,2470,,,
,1972,2208,,,
,1971,2083,,,
,1970,3462,,,
,1969,3568,,,
,1968,1554,,,
,1967,1623,,,
,1966,1721,,,
,1965,1358,,,
,1964,1400,,,
,1963,1774,,,
,1962,1845,,,
,1961,1031,,,
,1960,1030,,,
,1959,742,,,